Parameter,Mean (SD),Median (95% CI),rhat,ess_bulk,ess_tail
σ,0.229 (0.0163),"0.228 (0.199, 0.263)",1.0035838826687566,1844.7140504965018,1228.3231542018195
w[1],-0.0372 (0.544),"0.00117 (-1.2, 0.944)",1.000968774853865,1371.4772975220567,1472.8039044011734
w[2],-0.0304 (0.522),"0.00406 (-1.13, 0.879)",1.0012502968248298,1186.8008991864722,1431.9083265760107
w[3],0.00942 (0.505),"0.0267 (-1.07, 0.97)",1.0032968347455336,1286.7695138450304,1510.412128560729
w[4],-0.0404 (0.523),"-0.0152 (-1.14, 0.955)",1.0016517390336213,1380.0626489322372,1240.8256032028291
w[5],-0.0541 (0.541),"-0.0188 (-1.18, 0.956)",1.0042136654957619,1326.2818698116455,1404.032112374217
w[6],-0.0423 (0.511),"-0.00497 (-1.09, 0.942)",1.0029288466942468,1088.9216764393807,1303.1058527808307
w[7],0.118 (0.733),"0.09 (-1.22, 1.53)",1.006495662872618,466.8639897939415,827.1556077855287
w[8],0.138 (0.74),"0.0962 (-1.22, 1.5)",1.007013314491064,449.4617760534561,868.3386775263564
w[9],0.233 (0.76),"0.205 (-1.16, 1.58)",1.0178715608595528,321.94937689939684,1055.9633805719907
w[10],0.139 (0.735),"0.0988 (-1.19, 1.56)",1.0170302903500656,354.81149563185454,882.2647193072834
w[11],0.114 (0.717),"0.0621 (-1.19, 1.52)",1.000859892276448,415.7002279585046,666.7042937753026
w[12],0.0983 (0.719),"0.0414 (-1.21, 1.47)",1.0030020580453876,589.5890590007182,856.3007123872444
w[13],-0.223 (0.637),"-0.201 (-1.45, 0.969)",1.0075995227345387,523.8541828381315,1428.2374826567689
w[14],-0.254 (0.658),"-0.251 (-1.47, 1.03)",1.0017948034176518,632.8174846953133,1272.2827072682962
w[15],-0.304 (0.659),"-0.31 (-1.56, 0.925)",1.0073981308482864,510.5002143962312,1265.2469362245663
w[16],-0.246 (0.652),"-0.25 (-1.43, 1.01)",1.0047352352591057,610.8435054740448,1176.4219162529637
w[17],-0.236 (0.621),"-0.214 (-1.45, 0.962)",1.0002920236139012,568.372028319097,1173.2486900252097
w[18],-0.24 (0.646),"-0.247 (-1.45, 1.01)",1.0021764071262151,769.6637813180232,1179.773186542289
w[19],-0.0581 (0.525),"-0.0327 (-1.15, 0.949)",1.0008931423356673,1771.4731791189406,1374.1815231743929
w[20],-0.056 (0.534),"-0.0469 (-1.12, 0.984)",0.9999990846586658,1928.342445445339,1427.0638336706393
w[21],-0.0785 (0.496),"-0.0663 (-1.13, 0.868)",1.0052193524788158,1734.2705129457656,1685.401439944409
w[22],-0.0577 (0.509),"-0.0562 (-1.1, 0.892)",1.002997370481447,1535.6293163279279,1373.2140119895867
w[23],-0.0451 (0.532),"-0.0365 (-1.13, 1.01)",1.0025631957095464,1527.7627149081723,1486.3254934859947
w[24],-0.0642 (0.548),"-0.0688 (-1.14, 1.06)",1.0010211167948546,1628.8008564140348,1139.0241381801868
w[25],-0.121 (0.555),"-0.0963 (-1.21, 0.917)",1.003023900305309,1214.4393263551783,1304.9553817187796
w[26],-0.113 (0.541),"-0.108 (-1.2, 0.898)",0.9993953285730245,1169.3631511257252,1429.2475471937587
w[27],-0.0546 (0.548),"-0.0304 (-1.2, 0.946)",1.0052913852649286,1412.8922971593229,1358.5129938632272
w[28],-0.0898 (0.556),"-0.0819 (-1.2, 0.981)",1.0015066116548283,1247.973228109444,1461.2433036335674
w[29],-0.117 (0.54),"-0.106 (-1.2, 0.927)",1.0011518057448905,1292.9456330857556,1423.5954837683269
w[30],-0.126 (0.548),"-0.102 (-1.29, 0.878)",1.0026256239704394,1237.5932185129693,1317.7223205081727
w[31],-0.00198 (0.567),"-0.0112 (-1.09, 1.1)",1.0017152547549548,2211.3929760467167,1592.1445701289335
w[32],0.143 (0.658),"0.12 (-1.08, 1.42)",1.0086462118070096,485.5169318264719,830.0373073210266
w[33],0.154 (0.54),"0.152 (-0.931, 1.13)",1.002540036562022,634.7411954806828,1146.9323468595906
w[34],0.0387 (0.591),"0.0509 (-1.13, 1.13)",1.0017302543227022,1684.478984939634,1416.9442121309037
w[35],0.0723 (0.56),"0.0705 (-1.01, 1.18)",1.0005807818737733,1188.1088264607558,1582.1330785953398
w[36],-0.027 (0.572),"-0.0319 (-1.17, 1.1)",1.0033872553165157,1827.3896104624337,1401.0828000955587
w[37],0.146 (0.683),"0.133 (-1.13, 1.44)",1.00296969441293,683.1775320880381,1107.034755382846
w[38],0.184 (0.548),"0.188 (-0.89, 1.19)",1.0000599494066196,672.9253863217863,1220.193421523752
w[39],0.0826 (0.586),"0.0909 (-1.07, 1.22)",1.0005136958400211,1367.8821770974723,1463.9587221158047
w[40],0.0766 (0.582),"0.0974 (-1.1, 1.22)",1.003489987629335,1064.0048701341318,1219.621163379881
w[41],-0.0173 (0.567),"-0.0296 (-1.15, 1.12)",1.0004256378700584,1653.7408810410702,1608.8657603265274
w[42],0.217 (0.708),"0.213 (-1.1, 1.58)",1.009930283173874,452.8658396880296,1158.992097133111
w[43],0.188 (0.556),"0.213 (-0.959, 1.15)",1.0064309705986558,548.6336511245762,1140.0922974808855
w[44],0.0885 (0.59),"0.0761 (-1.0, 1.28)",1.0037466656522271,1027.2669017428163,1580.7121117924992
w[45],0.114 (0.585),"0.0931 (-1.03, 1.21)",1.006038291886904,889.716994003659,1559.3350365019826
w[46],-0.0485 (0.588),"-0.0704 (-1.22, 1.12)",1.0012423012535683,1410.836846878652,1571.0819429962369
w[47],0.145 (0.677),"0.15 (-1.18, 1.45)",1.006785061796997,560.2604390520439,1056.9882949893943
w[48],0.166 (0.54),"0.183 (-0.919, 1.16)",1.0070435725308937,552.1521327393882,1155.778156081245
w[49],0.0533 (0.585),"0.0515 (-1.11, 1.18)",1.003366062616665,1342.1429878984657,1418.826664229618
w[50],0.0584 (0.573),"0.0588 (-1.08, 1.25)",1.0021638309491183,1075.343811031497,1355.4265938481044
w[51],-0.0414 (0.571),"-0.043 (-1.14, 1.08)",1.0023842396483615,1557.5058839063104,1427.9282863470385
w[52],0.145 (0.679),"0.147 (-1.13, 1.51)",1.0002215210868712,627.3397439654004,789.805955030981
w[53],0.133 (0.539),"0.142 (-0.918, 1.16)",1.0032604643125795,582.3806527798167,1276.9483563718077
w[54],0.0604 (0.573),"0.0587 (-1.06, 1.15)",1.000149886595568,1753.291227850262,1748.5235864932238
w[55],0.038 (0.557),"0.0345 (-1.08, 1.13)",1.0010374858149473,1097.2675641155474,1507.4897725011058
w[56],-0.0391 (0.57),"-0.06 (-1.13, 1.08)",1.001642863708429,1730.111388503246,1545.4034337898595
w[57],0.14 (0.682),"0.108 (-1.19, 1.47)",1.004301875339423,789.5151846364791,1150.344914236391
w[58],0.144 (0.522),"0.16 (-0.875, 1.13)",1.0010146133956772,709.2054603174465,1135.7699996765225
w[59],0.0565 (0.592),"0.0799 (-1.07, 1.2)",1.0001785045166722,1524.1322526244035,1485.221676953808
w[60],0.0774 (0.583),"0.0703 (-1.15, 1.21)",1.0014344430508149,1282.266401235705,1096.9855742883194
w[61],0.229 (0.366),"0.229 (-0.484, 0.953)",1.0015491070779536,1492.3562555786054,1469.9993313801915
w[62],-0.351 (0.457),"-0.341 (-1.27, 0.494)",1.0019557283403155,1244.8532241173104,1387.1821026803952
w[63],-0.16 (0.272),"-0.168 (-0.691, 0.382)",1.000114100253035,815.332387777326,1173.0481248738786
w[64],0.014 (0.396),"0.021 (-0.813, 0.764)",1.0017669519624202,1021.8219382304918,1276.9590557778633
w[65],0.101 (0.377),"0.111 (-0.661, 0.814)",1.0000805255465337,1195.4251466833448,1279.5866698382627
